true_intent,pred_intent,true_id,pred_id,count
top_up_reverted,top_up_failed,61,59,5
balance_not_updated_after_bank_transfer,transfer_timing,5,67,4
card_delivery_estimate,card_arrival,12,11,4
direct_debit_payment_not_recognised,card_payment_not_recognised,28,16,4
pending_top_up,top_up_failed,47,59,4
pending_transfer,transfer_timing,48,67,4
why_verify_identity,unable_to_verify_identity,74,68,4
wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received,76,75,4
beneficiary_not_allowed,failed_transfer,7,35,3
declined_transfer,declined_card_payment,27,25,3
pending_transfer,balance_not_updated_after_bank_transfer,48,5,3
reverted_card_payment?,declined_card_payment,53,25,3
topping_up_by_card,supported_cards_and_currencies,62,54,3
transfer_not_received_by_recipient,transfer_timing,66,67,3
virtual_card_not_working,getting_virtual_card,72,40,3
why_verify_identity,verify_my_identity,74,69,3
activate_my_card,card_not_working,0,14,2
automatic_top_up,topping_up_by_card,4,62,2
balance_not_updated_after_bank_transfer,beneficiary_not_allowed,5,7,2
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,5,66,2
card_not_working,declined_card_payment,14,25,2
card_payment_fee_charged,extra_charge_on_statement,15,34,2
card_payment_not_recognised,direct_debit_payment_not_recognised,16,28,2
card_swallowed,lost_or_stolen_card,18,41,2
compromised_card,card_payment_not_recognised,22,16,2
contactless_not_working,order_physical_card,23,43,2
declined_transfer,failed_transfer,27,35,2
exchange_via_app,receiving_money,33,50,2
get_disposable_virtual_card,getting_virtual_card,37,40,2
pending_card_payment,declined_card_payment,45,25,2
pending_card_payment,pending_transfer,45,48,2
pending_cash_withdrawal,pending_transfer,46,48,2
pending_top_up,declined_cash_withdrawal,47,26,2
pending_transfer,transfer_not_received_by_recipient,48,66,2
Refund_not_showing_up,request_refund,51,52,2
supported_cards_and_currencies,fiat_currency_support,54,36,2
transfer_into_account,topping_up_by_card,65,62,2
unable_to_verify_identity,verify_my_identity,68,69,2
verify_my_identity,why_verify_identity,69,74,2
wrong_amount_of_cash_received,pending_cash_withdrawal,75,46,2
activate_my_card,card_linking,0,13,1
age_limit,top_up_by_cash_or_cheque,1,58,1
atm_support,country_support,3,24,1
automatic_top_up,pending_top_up,4,47,1
balance_not_updated_after_bank_transfer,balance_not_updated_after_cheque_or_cash_deposit,5,6,1
balance_not_updated_after_bank_transfer,pending_transfer,5,48,1
card_about_to_expire,card_delivery_estimate,9,12,1
card_about_to_expire,order_physical_card,9,43,1
card_acceptance,activate_my_card,10,0,1
card_acceptance,order_physical_card,10,43,1
card_acceptance,visa_or_mastercard,10,73,1
card_arrival,card_delivery_estimate,11,12,1
card_delivery_estimate,order_physical_card,12,43,1
card_linking,activate_my_card,13,0,1
card_linking,card_arrival,13,11,1
card_not_working,lost_or_stolen_phone,14,42,1
card_not_working,pin_blocked,14,49,1
card_payment_fee_charged,card_payment_wrong_exchange_rate,15,17,1
card_payment_fee_charged,cash_withdrawal_charge,15,19,1
card_payment_fee_charged,request_refund,15,52,1
card_payment_not_recognised,card_payment_fee_charged,16,15,1
card_payment_not_recognised,compromised_card,16,22,1
card_payment_wrong_exchange_rate,apple_pay_or_google_pay,17,2,1
card_payment_wrong_exchange_rate,exchange_charge,17,31,1
card_payment_wrong_exchange_rate,transaction_charged_twice,17,63,1
card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,17,76,1
cash_withdrawal_charge,cash_withdrawal_not_recognised,19,20,1
cash_withdrawal_not_recognised,pending_cash_withdrawal,20,46,1
cash_withdrawal_not_recognised,transaction_charged_twice,20,63,1
change_pin,passcode_forgotten,21,44,1
compromised_card,lost_or_stolen_card,22,41,1
contactless_not_working,lost_or_stolen_phone,23,42,1
declined_card_payment,card_not_working,25,14,1
declined_card_payment,declined_transfer,25,27,1
declined_card_payment,reverted_card_payment?,25,53,1
declined_cash_withdrawal,card_not_working,26,14,1
declined_cash_withdrawal,declined_transfer,26,27,1
declined_cash_withdrawal,pin_blocked,26,49,1
direct_debit_payment_not_recognised,reverted_card_payment?,28,53,1
disposable_card_limits,get_disposable_virtual_card,29,37,1
disposable_card_limits,virtual_card_not_working,29,72,1
edit_personal_details,card_arrival,30,11,1
exchange_charge,card_payment_wrong_exchange_rate,31,17,1
exchange_charge,exchange_rate,31,32,1
exchange_rate,card_payment_wrong_exchange_rate,32,17,1
extra_charge_on_statement,card_payment_fee_charged,34,15,1
fiat_currency_support,country_support,36,24,1
fiat_currency_support,supported_cards_and_currencies,36,54,1
get_disposable_virtual_card,card_not_working,37,14,1
get_disposable_virtual_card,disposable_card_limits,37,29,1
getting_spare_card,order_physical_card,39,43,1
getting_virtual_card,order_physical_card,40,43,1
lost_or_stolen_card,card_arrival,41,11,1
lost_or_stolen_phone,lost_or_stolen_card,42,41,1
order_physical_card,card_about_to_expire,43,9,1
pending_cash_withdrawal,cash_withdrawal_charge,46,19,1
pending_cash_withdrawal,wrong_amount_of_cash_received,46,75,1
pin_blocked,get_physical_card,49,38,1
receiving_money,country_support,50,24,1
receiving_money,exchange_charge,50,31,1
receiving_money,transfer_into_account,50,65,1
Refund_not_showing_up,reverted_card_payment?,51,53,1
request_refund,Refund_not_showing_up,52,51,1
request_refund,virtual_card_not_working,52,72,1
supported_cards_and_currencies,topping_up_by_card,54,62,1
terminate_account,top_up_by_cash_or_cheque,55,58,1
top_up_by_bank_transfer_charge,exchange_rate,56,32,1
top_up_by_bank_transfer_charge,top_up_by_card_charge,56,57,1
top_up_by_bank_transfer_charge,top_up_by_cash_or_cheque,56,58,1
top_up_by_bank_transfer_charge,transfer_fee_charged,56,64,1
top_up_by_card_charge,supported_cards_and_currencies,57,54,1
top_up_by_cash_or_cheque,supported_cards_and_currencies,58,54,1
top_up_by_cash_or_cheque,topping_up_by_card,58,62,1
top_up_failed,pending_top_up,59,47,1
top_up_failed,top_up_reverted,59,61,1
topping_up_by_card,declined_cash_withdrawal,62,26,1
topping_up_by_card,top_up_failed,62,59,1
transaction_charged_twice,card_payment_wrong_exchange_rate,63,17,1
transfer_fee_charged,card_payment_fee_charged,64,15,1
transfer_fee_charged,extra_charge_on_statement,64,34,1
transfer_fee_charged,wrong_amount_of_cash_received,64,75,1
transfer_into_account,supported_cards_and_currencies,65,54,1
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,66,5,1
transfer_not_received_by_recipient,balance_not_updated_after_cheque_or_cash_deposit,66,6,1
transfer_not_received_by_recipient,card_payment_not_recognised,66,16,1
transfer_not_received_by_recipient,direct_debit_payment_not_recognised,66,28,1
transfer_not_received_by_recipient,failed_transfer,66,35,1
unable_to_verify_identity,why_verify_identity,68,74,1
verify_source_of_funds,balance_not_updated_after_cheque_or_cash_deposit,70,6,1
verify_source_of_funds,card_arrival,70,11,1
verify_source_of_funds,topping_up_by_card,70,62,1
virtual_card_not_working,get_disposable_virtual_card,72,37,1
visa_or_mastercard,order_physical_card,73,43,1
why_verify_identity,terminate_account,74,55,1
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,76,17,1
